met type,date,mean/sum,min,max,%complete,comments
Air Temperature,01/10/2009,13.33,9.3,16.2,96,
Air Temperature,02/10/2009,11.33,7.9,15.6,100,
Air Temperature,03/10/2009,12.53,10.1,14.8,100,
Air Temperature,04/10/2009,11.83,9.9,14.7,100,
Air Temperature,05/10/2009,11.74,9.8,14.4,100,
Air Temperature,06/10/2009,15.73,12.8,17.1,100,
Air Temperature,07/10/2009,12.81,9.4,16.6,100,
Air Temperature,08/10/2009,9.72,6.7,13.9,100,
Air Temperature,09/10/2009,10.08,6.7,12.4,100,
Air Temperature,10/10/2009,13.63,11.2,17.2,100,
Air Temperature,11/10/2009,12.13,9.5,15,100,
Air Temperature,12/10/2009,10.06,6.9,14.2,100,
Air Temperature,13/10/2009,10.23,5.9,14.6,100,
Air Temperature,14/10/2009,10.35,8.4,13.7,100,
Air Temperature,15/10/2009,9.8,7.5,12.7,100,
Air Temperature,16/10/2009,10.57,7.4,13,100,
Air Temperature,17/10/2009,7.73,5.3,10.5,100,
Air Temperature,18/10/2009,7.32,4.3,11,100,
Air Temperature,19/10/2009,8.58,6.2,11.9,100,
Air Temperature,20/10/2009,10.5,8,12,100,
Air Temperature,21/10/2009,11.91,11,13.6,100,
Air Temperature,22/10/2009,11.71,10.6,13.3,100,
Air Temperature,23/10/2009,11.83,8.4,15.2,100,
Air Temperature,24/10/2009,13.95,11.6,15.6,100,
Air Temperature,25/10/2009,12.15,10.1,15.2,100,
Air Temperature,26/10/2009,12.14,9.7,15.1,100,
Air Temperature,27/10/2009,13.35,12.2,15.6,100,
Air Temperature,28/10/2009,13.2,11.1,17.1,100,
Air Temperature,29/10/2009,11.85,9.6,15.2,100,
Air Temperature,30/10/2009,12.39,11.4,14.2,100,
Air Temperature,31/10/2009,13.6,11.4,16.5,100,
Air Temperature,01/11/2009,12.28,9.5,15.6,100,
Air Temperature,02/11/2009,8.13,5.1,11.1,100,
Air Temperature,03/11/2009,10.15,7.3,12.8,100,
Air Temperature,04/11/2009,8.05,5.9,11.2,100,
Air Temperature,05/11/2009,8.9,7.1,11.3,100,
Air Temperature,06/11/2009,8.64,6.4,11.1,100,
Air Temperature,07/11/2009,6.96,4.2,10.1,100,
Air Temperature,08/11/2009,6.48,4.8,8.2,100,
Air Temperature,09/11/2009,4.26,2.9,5.5,100,
Air Temperature,10/11/2009,4.51,2.7,6.7,100,
Air Temperature,11/11/2009,6.35,3,9,100,
Air Temperature,12/11/2009,10.6,7.7,12.4,100,
Air Temperature,13/11/2009,11.68,9.6,14.7,100,
Air Temperature,14/11/2009,10.48,7.9,14.3,100,
Air Temperature,15/11/2009,9.62,8.4,12.1,100,
Air Temperature,16/11/2009,10.97,9.6,12.3,100,
Air Temperature,17/11/2009,10.17,8.7,12.5,100,
Air Temperature,18/11/2009,12.22,10.9,13.3,100,
Air Temperature,19/11/2009,12.18,11.4,12.7,100,
Air Temperature,20/11/2009,11.79,9.4,12.8,100,
Air Temperature,21/11/2009,11.89,9.6,13.1,100,
Air Temperature,22/11/2009,9.07,7.5,11.4,100,
Air Temperature,23/11/2009,10.23,8,12,100,
Air Temperature,24/11/2009,11.63,8.4,12.8,100,
Air Temperature,25/11/2009,9.26,8,12.3,100,
Air Temperature,26/11/2009,7.65,6.4,10,100,
Air Temperature,27/11/2009,5.63,4.2,7.7,100,
Air Temperature,28/11/2009,6.5,4.8,10.1,100,
Air Temperature,29/11/2009,6.74,5.2,9.2,100,
Air Temperature,30/11/2009,4.33,1.9,6,100,
Air Temperature,01/12/2009,3.2,0.1,6.4,100,
Air Temperature,02/12/2009,7.93,5.9,9.4,100,
Air Temperature,03/12/2009,5.51,2.1,7.4,100,
Air Temperature,04/12/2009,4.65,1.9,9,100,
Air Temperature,05/12/2009,9.28,5.9,11.1,100,
Air Temperature,06/12/2009,9.63,7.6,11.4,100,
Air Temperature,07/12/2009,7.93,4.9,9.7,100,
Air Temperature,08/12/2009,7.26,4.3,11,100,
Air Temperature,09/12/2009,10.38,9.5,11.5,100,
Air Temperature,10/12/2009,7.39,3.9,9.9,100,
Air Temperature,11/12/2009,3.43,0.4,5,100,
Air Temperature,12/12/2009,4.72,3.3,6.9,100,
Air Temperature,13/12/2009,3.43,1.7,5.5,100,
Air Temperature,14/12/2009,1.76,0.5,3.4,100,
Air Temperature,15/12/2009,0.39,-2.1,1.6,100,
Air Temperature,16/12/2009,-0.8,-4.1,2.2,100,
Air Temperature,17/12/2009,0.95,-1,2.7,100,
Air Temperature,18/12/2009,-0.86,-1.8,0,100,
Air Temperature,19/12/2009,-1.92,-4.3,0.7,100,
Air Temperature,20/12/2009,-0.14,-2.9,1.7,100,
Air Temperature,21/12/2009,-0.13,-1.1,0.5,100,
Air Temperature,22/12/2009,0.16,-1.5,1.6,100,
Air Temperature,23/12/2009,1.49,-0.2,4.4,100,
Air Temperature,24/12/2009,2.99,2,3.9,100,
Air Temperature,25/12/2009,2.64,0.2,6.3,100,
Air Temperature,26/12/2009,6.45,4.9,7.6,100,
Air Temperature,27/12/2009,4.67,2.1,6.1,100,
Air Temperature,28/12/2009,1.6,-0.5,3.9,100,
Air Temperature,29/12/2009,2.58,1.8,3.3,100,
Air Temperature,30/12/2009,3.9,2.8,5.1,100,
Air Temperature,31/12/2009,2.34,0.6,3.2,100,
Air Temperature,01/01/2010,-0.57,-1.98,1.48,100,
Air Temperature,02/01/2010,0.34,-2.2,4.03,100,
Air Temperature,03/01/2010,-0.39,-3.22,2.08,100,
Air Temperature,04/01/2010,-3.07,-6.48,0.17,100,
Air Temperature,05/01/2010,-1.23,-4.35,1.64,100,
Air Temperature,06/01/2010,-1.01,-4.75,0.03,100,
Air Temperature,07/01/2010,-3.98,-6.72,-1.49,100,
Air Temperature,08/01/2010,-2.82,-4.54,-1.27,100,
Air Temperature,09/01/2010,-2.77,-5.15,-0.72,100,
Air Temperature,10/01/2010,-0.08,-0.81,0.57,100,
Air Temperature,11/01/2010,-0.84,-1.29,-0.05,100,
Air Temperature,12/01/2010,-0.14,-1.01,0.66,100,
Air Temperature,13/01/2010,-0.53,-1.17,0.05,100,
Air Temperature,14/01/2010,0.87,-0.31,1.89,100,
Air Temperature,15/01/2010,2.58,-0.99,4.95,100,
Air Temperature,16/01/2010,4.86,2.92,6.98,100,
Air Temperature,17/01/2010,5.48,2.98,8.13,100,
Air Temperature,18/01/2010,4.91,1.8,7.95,100,
Air Temperature,19/01/2010,4.46,3.28,6.62,100,
Air Temperature,20/01/2010,1.31,0.1,3.49,100,
Air Temperature,21/01/2010,2.86,-0.08,6.15,100,
Air Temperature,22/01/2010,6.76,6.17,7.22,97,
Air Temperature,23/01/2010,4.91,3.19,6.75,100,
Air Temperature,24/01/2010,3.62,1.64,5.94,100,
Air Temperature,25/01/2010,2.4,1.31,3.85,100,
Air Temperature,26/01/2010,0.25,-2.36,1.53,100,
Air Temperature,27/01/2010,1.02,-2.74,6.1,100,
Air Temperature,28/01/2010,4.75,3.14,6.23,100,
Air Temperature,29/01/2010,2.91,-1.11,5.73,100,
Air Temperature,30/01/2010,-0.3,-1.9,2.16,100,
Air Temperature,31/01/2010,0.17,-1.9,2.85,100,
Air Temperature,01/02/2010,1.6,-0.79,4.91,100,
Air Temperature,02/02/2010,5.48,1.49,7.64,100,
Air Temperature,03/02/2010,4.36,1.78,7.5,100,
Air Temperature,04/02/2010,6.49,5.55,7.37,100,
Air Temperature,05/02/2010,6.57,4.99,9.42,100,
Air Temperature,06/02/2010,5.02,2.8,6.75,100,
Air Temperature,07/02/2010,2.85,1.53,4.52,100,
Air Temperature,08/02/2010,0.72,-0.74,1.73,100,
Air Temperature,09/02/2010,0.97,-0.93,4.04,100,
Air Temperature,10/02/2010,0.58,-2,2.23,100,
Air Temperature,11/02/2010,-0.17,-1.68,2.14,100,
Air Temperature,12/02/2010,1.34,-0.11,3.77,100,
Air Temperature,13/02/2010,1.24,0.1,2.66,100,
Air Temperature,14/02/2010,1.39,-0.35,3.18,100,
Air Temperature,15/02/2010,1.73,-0.63,3.82,100,
Air Temperature,16/02/2010,3.45,2.03,4.84,100,
Air Temperature,17/02/2010,2.8,0.26,6.33,100,
Air Temperature,18/02/2010,2.16,-0.89,5.44,100,
Air Temperature,19/02/2010,1.69,-0.44,5.01,100,
Air Temperature,20/02/2010,1.43,-0.63,5.12,100,
Air Temperature,21/02/2010,2.93,-0.64,5.57,100,
Air Temperature,22/02/2010,2.32,1.23,3.93,100,
Air Temperature,23/02/2010,2.53,1.4,5.23,100,
Air Temperature,24/02/2010,6.7,5.07,9.16,100,
Air Temperature,25/02/2010,6.55,5.32,8.1,100,
Air Temperature,26/02/2010,5.18,3.51,7.73,100,
Air Temperature,27/02/2010,6.59,3.92,8.85,100,
Air Temperature,28/02/2010,4.38,2.47,5.63,100,
Air Temperature,01/03/2010,4.57,1,9.25,100,
Air Temperature,02/03/2010,4.82,1.37,9.6,100,
Air Temperature,03/03/2010,3.06,0.77,6.53,100,
Air Temperature,04/03/2010,3,-0.7,6.48,100,
Air Temperature,05/03/2010,2.71,-2.6,7.85,100,
Air Temperature,06/03/2010,2.81,-1.65,6.75,100,
Air Temperature,07/03/2010,-0.13,-3.63,4.25,100,
Air Temperature,08/03/2010,1.34,-3.52,6.16,100,
Air Temperature,09/03/2010,3.73,0.99,6.3,100,
Air Temperature,10/03/2010,2.78,-0.17,6.02,100,
Air Temperature,11/03/2010,3.11,0.48,6.03,100,
Air Temperature,12/03/2010,4.22,1.29,8.38,100,
Air Temperature,13/03/2010,5.43,2.92,8.79,100,
Air Temperature,14/03/2010,7.28,3.24,11.39,100,
Air Temperature,15/03/2010,7.09,2.55,11.18,100,
Air Temperature,16/03/2010,5.59,0.48,10.52,100,
Air Temperature,17/03/2010,6.89,2.8,11.57,100,
Air Temperature,18/03/2010,9.36,5.49,13.33,100,
Air Temperature,19/03/2010,8.95,7.25,10.37,100,
Air Temperature,20/03/2010,9.78,7.4,10.81,100,
